time,open,high,low,close,Volume,Volume MA
1600646400,370.8825,376.3825,331.025,340.04,NaN,NaN
1600732800,340.215,346.645,335.575,344.1625,NaN,NaN
1600819200,344.41,344.5125,313.14,320.245,NaN,NaN
1600905600,320.5275,353.2,316.965,349.6975,NaN,NaN
1600992000,349.4925,358.015,337.7775,351.865,NaN,NaN
1601078400,352.14,356.3275,346.205,354.08,NaN,NaN
1601164800,354.15,362.325,347.3225,357.3875,NaN,NaN
1601251200,357.61,368.41,351.885,353.9425,NaN,NaN
1601337600,353.215,360.49,350.355,359.7975,NaN,NaN
1601424000,360.005,361.13,351.48,359.7775,NaN,NaN
1601510400,359.885,370.3775,345.3475,353.05,NaN,NaN
1601596800,352.4775,354.31,334.45,345.7,NaN,NaN
1601683200,345.725,351.0675,343.9275,346.205,NaN,NaN
1601769600,346.0975,354.225,344.155,352.5525,NaN,NaN
1601856000,352.5525,356.0475,348.7625,353.6775,NaN,NaN
1601942400,354.1475,355.2,336.7725,340.7525,NaN,NaN
1602028800,340.7,342.7675,333.09,341.835,NaN,NaN
1602115200,341.9225,353.4075,334.3775,351.255,NaN,NaN
1602201600,351.165,368.4775,345.5525,365.4775,NaN,NaN
1602288000,365.3675,378.47,365.2325,371.0275,NaN,NaN
1602374400,370.7925,377.4,369.2925,374.4325,NaN,NaN
1602460800,374.3725,395.2075,365.63,386.7425,NaN,NaN
1602547200,386.9175,387.74,374.3175,381.33,NaN,NaN
1602633600,381.4025,387.585,372.995,379.08,NaN,NaN
1602720000,379.0975,381.95,370.1375,377.89,NaN,NaN
1602806400,377.9175,380.0025,361.21,365.5375,NaN,NaN
1602892800,365.6125,370.5175,363.635,368.53,NaN,NaN
1602979200,368.4675,378.54,367.6825,378.4125,NaN,NaN
1603065600,378.56,384.66,373.075,379.41,NaN,NaN
1603152000,379.53,380.99,365.17,368.7925,NaN,NaN
1603238400,368.905,402.3925,368.1625,391.5525,NaN,NaN
1603324800,391.3525,421.485,391.3425,414.62,NaN,NaN
1603411200,414.4275,419.35,401.7625,409.7475,NaN,NaN
1603497600,409.79,416.085,407.5825,412.565,NaN,NaN
1603584000,412.5025,417.885,403.235,406.3575,NaN,NaN
1603670400,406.28,411.325,382.6275,393.3325,NaN,NaN
1603756800,393.325,410.6825,390.4825,404.315,NaN,NaN
1603843200,404.1575,409.315,380.74,388.6875,NaN,NaN
1603929600,388.75,394.0475,380.665,387.5275,NaN,NaN
1604016000,387.58,392.075,373.7525,382.775,NaN,NaN
1604102400,382.8575,393.92,380.835,386.8875,NaN,NaN
1604188800,386.5375,397.73,385.1775,396.8375,NaN,NaN
1604275200,396.925,404.485,378.3975,383.78,NaN,NaN
1604361600,383.395,390.445,370.5825,388.285,NaN,NaN
1604448000,388.295,408.765,376.5725,402.9125,NaN,NaN
1604534400,403.3475,421.21,397.015,417.0875,NaN,NaN
1604620800,417.3575,458.5325,415.6825,456.46,NaN,NaN
1604707200,456.52,468.8675,424.19,435.65,NaN,NaN
1604793600,435.5575,460.58,432.86,454.6525,NaN,NaN
1604880000,454.5125,459.435,434.24,444.4825,NaN,NaN
1604966400,444.9275,455.1625,439.22,450.9475,NaN,NaN
1605052800,451.0875,476.735,450.025,464.08,NaN,NaN
1605139200,463.945,470.4,451.76,463.21,NaN,NaN
1605225600,462.95,478.5175,457.8925,477.075,NaN,NaN
1605312000,477.2,478.0225,452.0975,461.21,NaN,NaN
1605398400,461.26,463.19,440.365,448.6225,NaN,NaN
1605484800,448.4775,466.23,445.9975,460.6125,NaN,NaN
1605571200,460.7125,485.065,460.2825,482.835,NaN,NaN
1605657600,482.6825,495.71,457.1325,479.0675,NaN,NaN
1605744000,479.3725,481.28,465.3,471.9625,NaN,NaN
1605830400,471.9125,514.8,471.505,510.465,NaN,NaN
1605916800,510.545,553.9925,503.045,552.8675,NaN,NaN
1606003200,553.05,581.79,511.5525,561.0675,NaN,NaN
1606089600,561.63,611.615,550.405,609.3925,NaN,NaN
1606176000,609.3725,623.5025,588.9525,605.5225,NaN,NaN
1606262400,605.3375,606.5775,554.1525,569.3775,NaN,NaN
1606348800,569.1725,577.1475,480.3,520.235,NaN,NaN
1606435200,520.615,531.1025,493.73,518.835,NaN,NaN
1606521600,519.035,548.575,506.405,538.1125,NaN,NaN
1606608000,537.79,577.19,531.0575,576.5475,NaN,NaN
1606694400,576.7325,616.965,571.05,616.74,NaN,NaN
1606780800,617.1,636.61,560.865,586.28,NaN,NaN
1606867200,585.9575,604.9975,575.335,597.835,NaN,NaN
1606953600,597.06,624.56,586.3375,616.6825,NaN,NaN
1607040000,616.4475,620.5125,566.105,567.8525,NaN,NaN
1607126400,567.395,597.6625,561.345,597.255,NaN,NaN
1607212800,597.42,607.4725,583.58,602.36,NaN,NaN
1607299200,602.5175,603.2225,584.715,591.41,NaN,NaN
1607385600,591.4625,595.225,548.33,554.79,NaN,NaN
1607472000,554.7125,578.08,530.3025,573.3875,NaN,NaN
1607558400,573.4075,575.21,548.355,558.58,NaN,NaN
1607644800,559.0575,559.84,535.3575,544.19,NaN,NaN
1607731200,543.985,574.2575,543.325,568.25,NaN,NaN
1607817600,568.14,594.9575,563.715,590.5625,NaN,NaN
1607904000,590.4275,591.645,575.7475,586.26,NaN,NaN
1607990400,586.385,597.12,578.4675,589.2125,NaN,NaN
1608076800,589.255,639.7125,581.3325,638.16,NaN,NaN
1608163200,638.23,676.855,627.135,643.52,NaN,NaN
1608249600,643.965,664.225,629.5475,654.9025,NaN,NaN
1608336000,654.83,669.44,646.5,658.8425,NaN,NaN
1608422400,658.835,661.2175,621.8225,638.365,NaN,NaN
1608508800,638.02,648.07,596.365,607.9075,NaN,NaN
1608595200,608.1,637.915,587.8225,637.1325,NaN,NaN
1608681600,637.125,638.5425,550.3625,585.395,NaN,NaN
1608768000,585.1025,614.93,565.825,612.37,NaN,NaN
1608854400,612.7275,633.4875,604.2225,626.7975,NaN,NaN
1608940800,626.855,652.3425,615.4875,636.415,NaN,NaN
1609027200,636.97,715.1225,623.2775,683.6525,NaN,NaN
1609113600,684.1775,746.86,680.77,729.5075,NaN,NaN
1609200000,729.4625,739.3825,688.015,731.6975,NaN,NaN
1609286400,732.485,758.625,716.595,752.595,NaN,NaN
1609372800,753.0825,755.7625,722.345,737.4375,NaN,NaN
1609459200,737.5975,750.125,716.9,731.06,NaN,NaN
1609545600,731.2375,788.74,717.2575,775.205,NaN,NaN
1609632000,775.2575,1013.87,769.86,979.4725,NaN,NaN
1609718400,980.1675,1167.965,888.8025,1042.6925,NaN,NaN
1609804800,1044.575,1135.725,975.095,1103.39,NaN,NaN
1609891200,1103.19,1215.7025,1059.1925,1212.275,NaN,NaN
1609977600,1212.8525,1290.9875,1148.135,1226.64,NaN,NaN
1610064000,1227.4475,1275.02,1064.7275,1218.1675,NaN,NaN
1610150400,1218.9275,1308.8825,1172.7875,1280.7275,NaN,NaN
1610236800,1281.4625,1351.3375,1152.0775,1255.285,NaN,NaN
1610323200,1256.24,1259.815,909.34,1088.53,NaN,NaN
1610409600,1088.2075,1151.195,1003.34,1049.43,NaN,NaN
1610496000,1049.315,1137.2725,983.87,1130.6825,NaN,NaN
1610582400,1130.425,1246.785,1087.3225,1231.6475,NaN,NaN
1610668800,1231.9225,1256.2125,1065.0625,1169.2125,NaN,NaN
1610755200,1169.6725,1293.0575,1152.655,1228.1675,NaN,NaN
1610841600,1227.6225,1268.7675,1165.7325,1233.205,NaN,NaN
1610928000,1232.9425,1260.935,1183.0175,1258.3075,NaN,NaN
1611014400,1258.4825,1440.0225,1251.9425,1368.435,NaN,NaN
1611100800,1367.885,1407.945,1234.4625,1377.765,NaN,NaN
1611187200,1378.005,1389.7175,1080.945,1110.665,NaN,NaN
1611273600,1110.8325,1275.5325,1039.0575,1234.475,NaN,NaN
1611360000,1233.2775,1272.9675,1197.6075,1234.3775,NaN,NaN
1611446400,1234.3,1400.48,1221.7675,1393.0775,NaN,NaN
1611532800,1394.0925,1476.385,1292.9275,1318.22,NaN,NaN
1611619200,1317.4725,1378.5875,1245.49,1367.9925,NaN,NaN
1611705600,1367.4975,1375.2275,1204.67,1240.565,NaN,NaN
1611792000,1240.79,1362.7075,1219.2975,1332.6525,NaN,NaN
1611878400,1333.325,1441.2525,1287.5325,1378.94,NaN,NaN
1611964800,1381.2075,1406.225,1327.34,1378.93,NaN,NaN
1612051200,1378.8,1381.3825,1282.785,1313.8225,NaN,NaN
1612137600,1313.215,1377.9425,1271.6675,1374.9525,NaN,NaN
1612224000,1375.3525,1549.0525,1361.9925,1513.3875,NaN,NaN
1612310400,1513.7375,1672.4,1509.175,1667.82,NaN,NaN
1612396800,1668.9275,1698.64,1556.1675,1598.1675,NaN,NaN
1612483200,1598.115,1764.365,1592.9625,1721.2375,NaN,NaN
1612569600,1722.07,1745.1875,1647.6375,1679.3775,NaN,NaN
1612656000,1679.7425,1694.77,1491.53,1615.3725,NaN,NaN
1612742400,1615.3675,1778.8825,1566.235,1753.0925,NaN,NaN
1612828800,1753.535,1824.6875,1709.1425,1771.9725,NaN,NaN
1612915200,1772.7325,1839.175,1679.9175,1743.1075,NaN,NaN
1613001600,1743.5075,1818.97,1705.4875,1787.4525,NaN,NaN
1613088000,1787.345,1868.2425,1741.1575,1845.6425,NaN,NaN
1613174400,1845.0475,1875.6525,1765.2725,1818.035,NaN,NaN
1613260800,1819.1525,1852.4575,1786.25,1803.2825,NaN,NaN
1613347200,1803.645,1836.6975,1662.31,1779.465,NaN,NaN
1613433600,1779.9125,1825.5975,1724.6675,1781.98,NaN,NaN
1613520000,1782.7275,1857.4875,1733.7075,1851.375,NaN,NaN
1613606400,1851.64,1950.23,1851.5325,1940.01,NaN,NaN
1613692800,1941.08,1975.0825,1890.745,1958,NaN,NaN
1613779200,1958.6175,2040.07,1810.59,1915.74,NaN,NaN
1613865600,1913.9025,1975.9125,1885.5275,1935.5425,NaN,NaN
1613952000,1935.8175,1938.245,1354.095,1779.3225,NaN,NaN
1614038400,1779.05,1782.3,1373.49,1578.135,NaN,NaN
1614124800,1578.2625,1714.5125,1500.1175,1625.5225,NaN,NaN
1614211200,1624.92,1672.42,1457.56,1481.59,NaN,NaN
1614297600,1480.7975,1563.175,1400.255,1445.1875,NaN,NaN
1614384000,1445.8225,1527.265,1424.7375,1460.1475,NaN,NaN
1614470400,1459.26,1469.645,1293.6775,1422.0975,NaN,NaN
1614556800,1422.9775,1573.9975,1413.3775,1571.31,NaN,NaN
1614643200,1571.6475,1607.9775,1455.84,1488.805,NaN,NaN
1614729600,1489.3675,1657.85,1477.77,1567.735,NaN,NaN
1614816000,1568.27,1625.2175,1504.89,1538.4875,NaN,NaN
1614902400,1540.2475,1549.14,1442.6325,1528.625,NaN,NaN
1614988800,1529.3875,1671.66,1513.2975,1651.535,NaN,NaN
1615075200,1652.53,1734.945,1631.1875,1727.5,NaN,NaN
1615161600,1728.14,1843.1075,1665,1834.605,NaN,NaN
1615248000,1835.315,1872.1225,1798.95,1871.58,NaN,NaN
1615334400,1872.36,1879.2675,1757.445,1794.745,NaN,NaN
1615420800,1795.61,1847.6975,1724.96,1826.69,NaN,NaN
1615507200,1826.9675,1841.665,1721.7,1767.275,NaN,NaN
1615593600,1767.5575,1943.55,1728.31,1920.8225,NaN,NaN
1615680000,1921.57,1931.3125,1837.3225,1848.0375,NaN,NaN
1615766400,1847.8575,1891.375,1734.3675,1793.605,NaN,NaN
1615852800,1794.6975,1819.055,1711.61,1805.98,NaN,NaN
1615939200,1806.3425,1840.2925,1742.455,1823.7675,NaN,NaN
1616025600,1825.8525,1849.745,1759.14,1776.2425,NaN,NaN
1616112000,1776.23,1840.655,1732.965,1810.105,NaN,NaN
1616198400,1809.7025,1868.955,1800.7325,1805.4375,NaN,NaN
1616284800,1804.78,1817.4475,1747.3,1784.465,NaN,NaN
1616371200,1784.31,1807.3225,1656.53,1681.64,NaN,NaN
1616457600,1681.715,1721.9975,1651.22,1668.9625,NaN,NaN
1616544000,1668.4375,1740.6075,1544.0525,1582.0275,NaN,NaN
1616630400,1581.615,1629.265,1549.215,1586.7725,NaN,NaN
1616716800,1586.875,1700.71,1586.825,1699.935,NaN,NaN
1616803200,1700.11,1732.285,1667.165,1713.6125,NaN,NaN
1616889600,1714.87,1725.41,1662.0025,1686.6475,NaN,NaN
1616976000,1686.6275,1841.42,1676.6825,1816.5025,NaN,NaN
1617062400,1816.3725,1859.4875,1786.31,1841.7625,NaN,NaN
1617148800,1841.5975,1947.8225,1771.3625,1918.9275,NaN,NaN
1617235200,1920.905,1982.59,1885.91,1968.5025,NaN,NaN
1617321600,1969.4025,2144.995,1949.6525,2134.3275,NaN,NaN
1617408000,2134.4825,2138.685,2001.4375,2009.3875,NaN,NaN
1617494400,2009.005,2092.4725,1979.7225,2076.5325,NaN,NaN
1617580800,2076.775,2130.865,2003.1425,2107.4675,NaN,NaN
1617667200,2108.335,2150.575,2045.34,2113.0375,NaN,NaN
1617753600,2113.27,2128.845,1929.9725,1963.3875,NaN,NaN
